"Preview","Preview"
"Preview Order Mail","Preview Order Mail"
"About","About"
"Extension Version","Extension Version"
"Extension Website","Extension Website"
"Author","Author"
"Donate","Donate"
"Settings","Paramètres"
"Debug mail templates","Debug mail templates"
"Enable to display template paths and block types in preview window.","Enable to display template paths and block types in preview window."
